Designator,Mid X,Mid Y,Rotation,Layer
F1,79.375,-39.425,270.0,top
H1,77.25,-32.175,0.0,top
H2,92.85,-32.175,0.0,top
J1,85.05,-32.165,180.0,top
J2,85.05,-41.14,0.0,top
R1,89.475,-39.425,270.0,top
R2,80.625,-39.425,90.0,top
