Designator,Mid X,Mid Y,Rotation,Layer
J1,162.95,-47.0,180.0,top
J2,162.95,-56.15,180.0,top
R1,170.36,-52.47,90.0,top
R2,155.54,-52.47,270.0,top
R3,162.2,-53.2,270.0,top
R4,163.7,-53.2,90.0,top
